0x15B2, 5738, 2:625:362, 1030, 742.421, 746, 4365, 1922, 1752, 11465, 4668, 56, -94.869, -107.122, 0x307
0x1639, 6732, 1:066:929, 999, 748.546, 750, 5502, 7648, 5616, 7647, 2660, 56, -96.692, -100.071, 0x2FC
0x14D3, 3528, 1:079:055, 665, 750.921, 752, 8576, 18507, 11950, 18506, 9354, 84, -87.688, -90.276, 0x47B
0x15B2, 5714, 2:796:553, 1031, 743.515, 747, 3697, 1986, 1699, 11308, 4714, 60, -94.903, -108.112, 0x338
0x1639, 6756, 1:238:121, 871, 742.000, 743, 2461, 5243, 6408, 6407, 1903, 36, -96.429, -101.187, 0x1FC
0x14D3, 3551, 1:250:247, 667, 751.015, 752, 74, 9286, 18424, 18423, 9154, 80, -87.568, -91.068, 0x449
0x15B2, 5738, 2:967:744, 1031, 744.312, 748, 5100, 1691, 1890, 11895, 4634, 64, -94.829, -106.105, 0x365
0x1639, 6718, 1:409:313, 1031, 743.671, 745, 5468, 7490, 5256, 7489, 2721, 56, -96.517, -101.549, 0x2FF
0x14D3, 3218, 1:421:439, 619, 748.937, 752, 9837, 4960, 2826, 18278, 9277, 88, -86.275, -96.544, 0x49F
0x15B2, 5761, 3:138:936, 1031, 745.343, 749, 5062, 1709, 1902, 11888, 4615, 60, -94.811, -106.068, 0x334
0x1639, 6742, 1:580:504, 999, 745.078, 747, 3569, 6598, 6119, 6597, 2427, 44, -96.294, -102.986, 0x268
0x14D3, 3518, 1:592:631, 791, 751.109, 752, 122, 16263, 19625, 19624, 11793, 100, -87.187, -91.423, 0x550
0x15B2, 5733, 3:310:127, 1032, 746.546, 750, 4685, 1884, 1506, 10829, 4559, 60, -94.750, -107.421, 0x334
0x1639, 6737, 1:751:696, 711, 746.171, 748, 3110, 4939, 4639, 4938, 1228, 32, -96.289, -101.672, 0x1C1
0x14D3, 3528, 1:763:823, 678, 751.343, 753, 60, 16951, 16659, 16950, 9991, 92, -87.806, -90.154, 0x4D8
0x15B2, 5770, 3:481:318, 1032, 747.375, 751, 4874, 1857, 1902, 11547, 4692, 72, -94.875, -107.875, 0x3C6
0x1639, 6713, 1:922:888, 1031, 748.390, 750, 5471, 7779, 6118, 7778, 2834, 52, -96.693, -100.062, 0x2CC
0x14D3, 3485, 1:935:014, 775, 751.437, 753, 7206, 19859, 16446, 19858, 12558, 104, -87.638, -90.027, 0x581
0x15B2, 5733, 3:652:509, 1032, 740.250, 744, 6185, 1775, 2098, 12718, 4745, 56, -94.923, -105.595, 0x30E
0x1639, 6760, 2:094:080, 742, 750.046, 751, 2425, 4855, 5926, 5925, 1620, 32, -95.122, -101.952, 0x1C6
0x14D3, 3556, 2:106:206, 676, 744.093, 745, 104, 9977, 18576, 18575, 8773, 80, -87.267, -91.140, 0x44B
0x15B2, 5766, 3:823:700, 1033, 741.468, 745, 4232, 1951, 1594, 11476, 4703, 60, -94.876, -108.826, 0x337
0x1639, 6695, 2:265:272, 998, 744.140, 746, 3492, 6797, 6745, 6796, 2571, 48, -96.553, -101.443, 0x29A
